#dtstart,2022-03-24 20:31:01.778
Time,TEMP,PLETH_SAT_O2,PLETH_HR,PLETH_PERF_REL,ECG_HR,RR,ST_II,ECG_VPC_CNT,ECG_II,PLETH,RESP,Event
0.000,,,,,,,,,0.065002,35.946278,-0.6,
0.002,,,,,,,,,0.025005,,,
0.004,,,,,,,,,,,,
0.006,,,,,,,,,-0.039997,37.216118,,
0.008,,,,,,,,,,,,
0.010,,,,,,,,,-0.119995,,,
0.012,,,,,,,,,-0.154995,,,
0.014,,,,,,,,,,,,
0.016,,,,,,,,,-0.244995,38.144077,-0.6,
0.018,,,,,,,,,,,,
0.020,,,,,,,,,-0.324997,,,
0.022,,,,,,,,,-0.354996,38.754578,,
0.024,,,,,,,,,,,,
0.026,,,,,,,,,-0.424995,,,
0.028,,,,,,,,,-0.464996,,,
0.030,,,,,,,,,,,,
0.032,,,,,,,,,-0.564995,39.12088,-0.6,
0.034,,,,,,,,,,,,
0.036,,,,,,,,,-0.649998,,,
0.038,,,,,,,,,-0.684998,39.242981,,
0.040,,,,,,,,,,,,
0.042,,,,,,,,,-0.744995,,,
0.044,,,,,,,,,,,,
0.046,,,,,,,,,-0.799995,,,
0.048,,,,,,,,,-0.824997,39.194141,-0.6,
0.050,,,,,,,,,,,,
0.052,,,,,,,,,-0.874996,,,
0.054,,,,,,,,,,,,
0.056,,,,,,,,,-0.914997,39.023201,,
0.058,,,,,,,,,-0.929996,,,
0.060,,,,,,,,,,,,
0.062,,,,,,,,,-0.939995,38.754578,-0.6,
0.064,,,,,,,,,,,,
0.066,,,,,,,,,-0.949997,,,
0.068,,,,,,,,,-0.959995,,,
0.070,,,,,,,,,,,,
0.072,,,,,,,,,-0.964996,38.412701,,
0.074,,,,,,,,,,,,
0.076,,,,,,,,,-0.969997,,,
0.078,,,,,,,,,-0.979996,38.02198,-0.6,
0.080,,,,,,,,,,,,
0.082,,,,,,,,,-0.979996,,,
0.084,,,,,,,,,-0.974995,,,
0.086,,,,,,,,,,,,
0.088,,,,,,,,,-0.964996,37.606838,,
0.090,,,,,,,,,,,,
0.092,,,,,,,,,-0.944996,,,
0.094,,,,,,,,,-0.934998,37.118439,-0.6,
0.096,,,,,,,,,,,,
0.098,,,,,,,,,-0.909996,,,
0.100,,,,,,,,,,,,
0.102,,,,,,,,,-0.884995,,,
0.104,,,,,,,,,-0.869995,36.556778,,
0.106,,,,,,,,,,,,
0.108,,,,,,,,,-0.824997,,,
0.110,,,,,,,,,,,,
0.112,,,,,,,,,-0.764996,35.897438,-0.6,
0.114,,,,,,,,,-0.729996,,,
0.116,,,,,,,,,,,,
0.118,,,,,,,,,-0.649998,35.091576,,
0.120,,,,,,,,,,,,
0.122,,,,,,,,,-0.574997,,,
0.124,,,,,,,,,-0.534996,,,
0.126,,,,,,,,,,,,
0.128,,,,,,,,,-0.444996,34.236874,-0.6,
0.130,,,,,,,,,-0.399998,,,
0.132,,,,,,,,,,,,
0.134,,,,,,,,,-0.334995,33.455433,,
0.136,,,,,,,,,,,,
0.138,,,,,,,,,-0.249996,,,
0.140,,,,,,,,,-0.214996,,,
0.142,,,,,,,,,,,,
0.144,,,,,,,,,-0.124996,32.967033,-0.6,
0.146,,,,,,,,,,,,
0.148,,,,,,,,,-0.049995,,,
0.150,,,,,,,,,-0.004997,33.015873,,
0.152,,,,,,,,,,,,
0.154,,,,,,,,,0.090004,,,
0.156,,,,,,,,,,,,
0.158,,,,,,,,,0.165005,,,
0.160,,,,,,,,,0.195004,33.870575,-0.6,
0.162,,,,,,,,,,,,
0.164,,,,,,,,,0.260002,,,
0.166,,,,,,,,,,,,
0.168,,,,,,,,,0.320004,35.726498,,
0.170,,,,,,,,,0.345005,,,
0.172,,,,,,,,,,,,
0.174,,,,,,,,,0.410004,,,
0.176,,,,,,,,,0.450005,38.583641,-0.6,
0.178,,,,,,,,,,,,
0.180,,,,,,,,,0.525005,,,
0.182,,,,,,,,,,,,
0.184,,,,,,,,,0.590004,42.271065,,
0.186,,,,,,,,,0.625004,,,
0.188,,,,,,,,,,,,
0.190,,,,,,,,,0.685005,46.520145,-0.6,
0.192,,,,,,,,,,,,
0.194,,,,,,,,,0.730003,,,
0.196,,,,,,,,,0.750004,,,
0.198,,,,,,,,,,,,
0.200,,,,,,,,,0.810005,50.915752,,
0.202,,,,,,,,,,,,
0.204,,,,,,,,,0.875004,,,
0.206,,,,,,,,,0.905003,55.042736,-0.6,
0.208,,,,,,,,,,,,
0.210,,,,,,,,,0.965004,,,
0.212,,,,,,,,,,,,
0.214,,,,,,,,,1.000004,,,
0.216,,,,,,,,,1.000004,58.583641,,
0.218,,,,,,,,,,,,
0.220,,,,,,,,,1.005005,,,
0.222,,,,,,,,,,,,
0.224,,,,,,,,,0.995003,61.416363,-0.6,
0.226,,,,,,,,,0.980003,,,
0.228,,,,,,,,,,,,
0.230,,,,,,,,,0.980003,,,
0.232,,,,,,,,,0.980003,63.443226,,
0.234,,,,,,,,,,,,
0.236,,,,,,,,,0.965004,,,
0.238,,,,,,,,,,,,
0.240,,,,,,,,,0.955006,64.688644,-0.6,
0.242,,,,,,,,,0.955006,,,
0.244,,,,,,,,,,,,
0.246,,,,,,,,,0.955006,65.299149,,
0.248,,,,,,,,,,,,
0.250,,,,,,,,,0.960003,,,
0.252,,,,,,,,,0.965004,,,
0.254,,,,,,,,,,,,
0.256,,,,,,,,,0.955006,65.347984,-0.6,
0.258,,,,,,,,,0.955006,,,
0.260,,,,,,,,,0.965004,,,
0.262,,,,,,,,,0.975002,64.957268,,
0.264,,,,,,,,,,,,
0.266,,,,,,,,,0.990005,,,
0.268,,,,,,,,,1.010002,,,
0.270,,,,,,,,,1.050003,,,
0.272,,,,,,,,,1.115005,64.249084,-0.6,
0.274,,,,,,,,,,,,
0.276,,,,,,,,,1.325005,,,
0.278,,,,,,,,,1.435005,63.321125,,
0.280,,,,,,,,,,,,
0.282,,,,,,,,,1.610004,,,
0.284,,,,,,,,,1.685005,,,
0.286,,,,,,,,,1.745003,,,
0.288,,,,,,,,,1.780003,62.173382,-0.6,
0.290,,,,,,,,,,,,
0.292,,,,,,,,,1.705006,,,
0.294,,,,,,,,,1.560005,,,
0.296,,,,,,,,,1.370003,60.854702,,
0.298,,,,,,,,,1.205006,,,
0.300,,,,,,,,,,,,
