time,value,date
16:46:38,73,2022-03-14
16:46:43,79,2022-03-14
16:46:48,80,2022-03-14
16:46:53,85,2022-03-14
16:47:03,84,2022-03-14
16:47:08,81,2022-03-14
16:47:18,78,2022-03-14
16:47:23,74,2022-03-14
16:47:28,73,2022-03-14
16:47:33,71,2022-03-14
16:47:38,77,2022-03-14
16:47:43,76,2022-03-14
16:47:48,78,2022-03-14
16:47:53,77,2022-03-14
16:47:58,77,2022-03-14
16:48:03,76,2022-03-14
16:48:08,76,2022-03-14
16:48:18,76,2022-03-14
16:48:33,76,2022-03-14
16:48:38,76,2022-03-14
16:48:43,77,2022-03-14
16:48:53,79,2022-03-14
16:49:03,78,2022-03-14
16:49:08,77,2022-03-14
16:49:13,76,2022-03-14
16:49:18,74,2022-03-14
16:49:23,79,2022-03-14
16:49:28,84,2022-03-14
16:49:33,88,2022-03-14
16:49:38,89,2022-03-14
16:49:43,86,2022-03-14
16:49:53,85,2022-03-14
16:49:58,80,2022-03-14
16:50:03,76,2022-03-14
16:50:08,74,2022-03-14
16:50:13,73,2022-03-14
16:50:18,72,2022-03-14
16:50:23,74,2022-03-14
16:50:28,73,2022-03-14
16:50:33,71,2022-03-14
16:50:38,73,2022-03-14
16:50:43,74,2022-03-14
16:50:58,74,2022-03-14
16:51:03,74,2022-03-14
16:51:08,77,2022-03-14
16:51:13,76,2022-03-14
16:51:18,77,2022-03-14
16:51:23,76,2022-03-14
16:51:33,79,2022-03-14
16:51:43,83,2022-03-14
16:51:48,84,2022-03-14
16:51:53,86,2022-03-14
16:51:58,84,2022-03-14
16:52:03,85,2022-03-14
16:52:08,84,2022-03-14
16:52:13,81,2022-03-14
16:52:18,80,2022-03-14
16:52:23,81,2022-03-14
16:52:28,82,2022-03-14
16:52:38,83,2022-03-14
16:52:43,84,2022-03-14
16:52:48,81,2022-03-14
16:52:53,80,2022-03-14
16:52:58,79,2022-03-14
16:53:13,78,2022-03-14
16:53:18,79,2022-03-14
16:53:23,78,2022-03-14
16:53:28,77,2022-03-14
16:53:43,78,2022-03-14
16:53:48,80,2022-03-14
16:53:53,79,2022-03-14
16:53:58,78,2022-03-14
16:54:03,78,2022-03-14
16:54:13,79,2022-03-14
16:54:18,79,2022-03-14
16:54:23,80,2022-03-14
16:54:28,82,2022-03-14
16:54:33,83,2022-03-14
16:54:38,81,2022-03-14
16:54:43,78,2022-03-14
16:54:48,76,2022-03-14
16:54:53,75,2022-03-14
16:54:58,77,2022-03-14
16:55:03,79,2022-03-14
16:55:08,77,2022-03-14
16:55:13,75,2022-03-14
16:55:18,74,2022-03-14
16:55:28,76,2022-03-14
16:55:38,77,2022-03-14
16:55:43,79,2022-03-14
16:55:48,80,2022-03-14
16:55:53,80,2022-03-14
16:55:58,81,2022-03-14
16:56:03,83,2022-03-14
16:56:08,85,2022-03-14
16:56:13,84,2022-03-14
16:56:18,82,2022-03-14
16:56:23,80,2022-03-14
16:56:38,79,2022-03-14
16:56:43,82,2022-03-14
16:56:48,82,2022-03-14
16:56:53,79,2022-03-14
16:56:58,77,2022-03-14
16:57:03,78,2022-03-14
16:57:13,79,2022-03-14
16:57:18,78,2022-03-14
16:57:23,79,2022-03-14
16:57:28,77,2022-03-14
16:57:33,74,2022-03-14
16:57:38,77,2022-03-14
16:57:43,78,2022-03-14
16:57:48,77,2022-03-14
16:57:53,76,2022-03-14
16:57:58,77,2022-03-14
16:58:08,78,2022-03-14
16:58:13,79,2022-03-14
16:58:18,78,2022-03-14
16:58:23,77,2022-03-14
16:58:28,78,2022-03-14
16:58:38,77,2022-03-14
16:58:53,78,2022-03-14
16:59:08,76,2022-03-14
16:59:13,76,2022-03-14
16:59:18,76,2022-03-14
16:59:23,76,2022-03-14
16:59:28,77,2022-03-14
16:59:33,78,2022-03-14
16:59:48,78,2022-03-14
16:59:53,76,2022-03-14
16:59:58,74,2022-03-14
17:00:03,73,2022-03-14
17:00:13,72,2022-03-14
17:00:18,71,2022-03-14
17:00:23,72,2022-03-14
17:00:28,72,2022-03-14
17:00:33,73,2022-03-14
17:00:38,77,2022-03-14
17:00:43,80,2022-03-14
17:00:53,81,2022-03-14
17:00:58,82,2022-03-14
17:01:03,81,2022-03-14
17:01:08,80,2022-03-14
17:01:13,76,2022-03-14
17:01:18,76,2022-03-14
17:01:28,78,2022-03-14
17:01:33,80,2022-03-14
17:01:38,81,2022-03-14
17:01:43,82,2022-03-14
17:01:48,81,2022-03-14
17:01:53,79,2022-03-14
17:01:58,79,2022-03-14
17:02:03,81,2022-03-14
17:02:08,83,2022-03-14
17:02:13,82,2022-03-14
17:02:18,80,2022-03-14
17:02:23,80,2022-03-14
17:02:28,77,2022-03-14
17:02:33,76,2022-03-14
17:02:38,75,2022-03-14
17:02:43,75,2022-03-14
17:02:48,75,2022-03-14
17:02:53,76,2022-03-14
17:03:03,77,2022-03-14
17:03:08,77,2022-03-14
17:03:18,79,2022-03-14
17:03:23,80,2022-03-14
17:03:28,81,2022-03-14
17:03:33,84,2022-03-14
17:03:38,82,2022-03-14
17:03:43,81,2022-03-14
17:03:48,78,2022-03-14
17:03:53,76,2022-03-14
17:03:58,73,2022-03-14
17:04:03,72,2022-03-14
17:04:13,74,2022-03-14
17:04:18,76,2022-03-14
17:04:23,75,2022-03-14
17:04:28,75,2022-03-14
17:04:33,72,2022-03-14
17:04:38,73,2022-03-14
17:04:43,76,2022-03-14
17:04:48,79,2022-03-14
17:04:53,80,2022-03-14
17:05:03,80,2022-03-14
17:05:08,79,2022-03-14
17:05:13,76,2022-03-14
17:05:18,74,2022-03-14
17:05:23,75,2022-03-14
17:05:28,79,2022-03-14
17:05:33,80,2022-03-14
17:05:38,80,2022-03-14
17:05:48,82,2022-03-14
17:05:53,83,2022-03-14
17:06:03,81,2022-03-14
17:06:08,79,2022-03-14
17:06:13,78,2022-03-14
17:06:23,77,2022-03-14
17:06:28,77,2022-03-14
17:06:33,75,2022-03-14
17:06:48,74,2022-03-14
17:06:53,76,2022-03-14
17:06:58,77,2022-03-14
17:07:08,74,2022-03-14
17:07:13,72,2022-03-14
17:07:18,71,2022-03-14
17:07:23,71,2022-03-14
17:07:28,77,2022-03-14
17:07:33,81,2022-03-14
17:07:38,84,2022-03-14
17:07:48,86,2022-03-14
17:07:58,87,2022-03-14
17:08:03,86,2022-03-14
17:08:18,86,2022-03-14
17:08:28,89,2022-03-14
17:08:33,93,2022-03-14
17:08:38,93,2022-03-14
17:08:43,92,2022-03-14
17:08:48,94,2022-03-14
17:09:03,95,2022-03-14
17:09:08,89,2022-03-14
17:09:13,91,2022-03-14
17:09:18,90,2022-03-14
17:09:23,88,2022-03-14
17:09:28,94,2022-03-14
17:09:38,95,2022-03-14
17:09:43,94,2022-03-14
17:09:48,97,2022-03-14
17:09:53,93,2022-03-14
17:09:58,95,2022-03-14
17:10:03,96,2022-03-14
17:10:08,98,2022-03-14
17:10:18,100,2022-03-14
17:10:23,101,2022-03-14
17:10:28,102,2022-03-14
17:10:33,101,2022-03-14
17:10:38,100,2022-03-14
17:10:43,98,2022-03-14
17:10:48,95,2022-03-14
17:10:53,92,2022-03-14
17:10:58,90,2022-03-14
17:11:13,90,2022-03-14
17:11:28,90,2022-03-14
17:11:38,92,2022-03-14
17:11:43,93,2022-03-14
17:11:48,92,2022-03-14
17:11:53,94,2022-03-14
17:12:08,92,2022-03-14
17:12:13,94,2022-03-14
17:12:18,92,2022-03-14
17:12:23,93,2022-03-14
17:12:28,91,2022-03-14
17:12:38,93,2022-03-14
17:12:43,92,2022-03-14
17:12:48,96,2022-03-14
17:12:53,97,2022-03-14
17:12:58,91,2022-03-14
17:13:03,88,2022-03-14
17:13:08,93,2022-03-14
17:13:13,99,2022-03-14
17:13:18,99,2022-03-14
17:13:23,97,2022-03-14
17:13:28,98,2022-03-14
17:13:38,101,2022-03-14
17:13:43,100,2022-03-14
17:13:48,98,2022-03-14
17:14:03,98,2022-03-14
17:14:18,99,2022-03-14
17:14:28,100,2022-03-14
17:14:33,102,2022-03-14
17:14:38,104,2022-03-14
17:14:43,101,2022-03-14
17:14:48,104,2022-03-14
17:14:53,110,2022-03-14
17:14:58,108,2022-03-14
17:15:03,109,2022-03-14
17:15:08,105,2022-03-14
17:15:13,103,2022-03-14
17:15:28,104,2022-03-14
17:15:38,106,2022-03-14
17:15:43,107,2022-03-14
17:15:48,106,2022-03-14
17:15:53,103,2022-03-14
17:15:58,100,2022-03-14
17:16:03,95,2022-03-14
17:16:08,90,2022-03-14
17:16:13,81,2022-03-14
17:16:18,80,2022-03-14
17:16:23,78,2022-03-14
17:16:33,76,2022-03-14
17:16:38,77,2022-03-14
17:16:43,78,2022-03-14
17:16:53,75,2022-03-14
17:16:58,74,2022-03-14
17:17:08,75,2022-03-14
17:17:13,76,2022-03-14
17:17:18,84,2022-03-14
17:17:28,85,2022-03-14
17:17:33,82,2022-03-14
17:17:43,83,2022-03-14
17:17:58,80,2022-03-14
17:18:03,81,2022-03-14
17:18:08,80,2022-03-14
17:18:13,79,2022-03-14
17:18:18,78,2022-03-14
17:18:23,78,2022-03-14
17:18:33,78,2022-03-14
17:18:43,80,2022-03-14
17:18:48,82,2022-03-14
17:18:53,81,2022-03-14
17:18:58,76,2022-03-14
17:19:03,72,2022-03-14
17:19:08,70,2022-03-14
17:19:18,73,2022-03-14
17:19:23,73,2022-03-14
17:19:33,77,2022-03-14
17:19:38,75,2022-03-14
17:19:53,73,2022-03-14
17:19:58,75,2022-03-14
17:20:03,76,2022-03-14
17:20:08,79,2022-03-14
17:20:13,80,2022-03-14
17:20:18,79,2022-03-14
17:20:28,77,2022-03-14
17:20:33,82,2022-03-14
17:20:38,80,2022-03-14
17:20:53,80,2022-03-14
17:20:58,81,2022-03-14
17:21:03,80,2022-03-14
17:21:13,81,2022-03-14
17:21:18,80,2022-03-14
17:21:28,84,2022-03-14
17:21:43,82,2022-03-14
17:21:48,83,2022-03-14
17:21:58,82,2022-03-14
17:22:03,84,2022-03-14
17:22:18,81,2022-03-14
17:22:23,78,2022-03-14
17:22:28,78,2022-03-14
17:22:33,77,2022-03-14
17:22:38,78,2022-03-14
17:22:48,76,2022-03-14
17:22:53,77,2022-03-14
17:22:58,78,2022-03-14
17:23:08,77,2022-03-14
17:23:13,74,2022-03-14
17:23:18,70,2022-03-14
17:23:28,70,2022-03-14
17:23:33,72,2022-03-14
17:23:38,70,2022-03-14
17:23:43,69,2022-03-14
17:23:48,72,2022-03-14
17:23:53,75,2022-03-14
17:23:58,76,2022-03-14
17:24:03,75,2022-03-14
17:24:08,78,2022-03-14
17:24:13,76,2022-03-14
17:24:23,72,2022-03-14
17:24:28,71,2022-03-14
17:24:33,69,2022-03-14
17:24:38,70,2022-03-14
17:24:43,74,2022-03-14
17:24:53,71,2022-03-14
17:24:58,70,2022-03-14
17:25:03,68,2022-03-14
17:25:08,69,2022-03-14
17:25:13,69,2022-03-14
17:25:18,71,2022-03-14
17:25:23,74,2022-03-14
17:25:33,73,2022-03-14
17:25:38,71,2022-03-14
17:25:43,69,2022-03-14
17:25:48,71,2022-03-14
17:25:58,73,2022-03-14
17:26:03,74,2022-03-14
17:26:18,74,2022-03-14
17:26:23,73,2022-03-14
17:26:28,71,2022-03-14
17:26:33,73,2022-03-14
